id,part,scope,qty_per_kit,qty_for_10_kits,advertised_pack_options,target_pieces_per_pack,target_number_of_packs,purchase_url,link_type,listing_evidence_url,documentation_status,documentation_url,cad_status,choice_status,shipping_status,verified_lot_price,currency,verified_shipping_cost,verification_date,notes
K11,Stereo headphone amp; TDA1308 candidate,Headphones; design hold,1,10,1/10,10,1,https://www.aliexpress.com/item/1005009791615188.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005009791615188,Schematic and dimensions needed; headphone suitability unverified,https://www.nxp.com/products/TDA1308,Not verified,Unverified,Unverified,,,,2026-09-09,No purchase qualification. Select 10-piece option. Read purchasing-kit.md for compatibility and holds.
S01,Encoder knob,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/item/33003636792.html,Candidate product listing,https://alitools.io/en/showcase/10pcs-6mm-shaft-hole-amplifier-knob-for-encoder-potentiometer-knobs-33003636792,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Match exact shaft profile and bore depth
S02,Joystick cap,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-joystick-thumbstick-cap.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Only if not included; match ALPS lever
S03,Male header strip 1x40 2.54mm,Assembly / conditional accessory,2,20,Unverified,10,2,https://www.aliexpress.com/w/wholesale-10pcs-1x40-2.54-male-header.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Allowance; final cuts/included headers unknown
S04,Female socket strip 1x40 2.54mm,Assembly / conditional accessory,2,20,Unverified,10,2,https://www.aliexpress.com/item/1005013054690432.html,Candidate product listing,https://www.pricearchive.org/aliexpress.com/item/1005013054690432,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Allowance; verify height and cutting losses
S05,USB-A to USB-C data cable,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-usb-a-usb-c-data-cable.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Require data conductors; choose cable length
S06,Regulated 5V USB supply,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-5v-2a-usb-power-supply.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Conditional accessory; 2A provisional budget; plug/destination TBD
S07,Speaker connector mating pair with leads,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10sets-jst-ph-2.0-2pin-wire.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Conditional; match pitch and current; may use amp terminal block instead
S08,3.5mm stereo headphone socket,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-3.5mm-stereo-pcb-jack.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Only if absent from headphone amp; exact MPN/footprint TBD
S09,Internal wiring set,Assembly / conditional accessory,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-dupont-jumper-wire-set.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Signal and power wiring lengths/gauges TBD
S10,Assembled carrier PCB,Assembly / conditional accessory,1,10,Unverified,10,1,,Custom manufacture,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Design hold; no production files or final assembly BOM
S11,4.7k I2C pull-up resistors,Assembly / conditional accessory,2,20,Unverified,100,1,https://www.aliexpress.com/w/wholesale-100pcs-4.7k-resistor.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Conditional allowance; check onboard pull-ups; package TBD
S12,Supply/ADC/filter passives,Assembly / conditional accessory,TBD,TBD,Unverified,,,,Design hold,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Values/packages/counts depend on carrier schematic
S13,Printed enclosure and lid pair,Assembly / conditional accessory,1,10,Unverified,10,1,,Custom manufacture,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Select body and revise fit before printing
S14,Lid screws,Assembly / conditional accessory,4,40,Unverified,100,1,https://www.aliexpress.com/w/wholesale-100pcs-m2-self-tapping-screws.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Handheld minimum only; length/type and additional module fixings TBD
S15,Mic/speaker gasket set,Assembly / conditional accessory,1,10,Unverified,10,1,,Custom cut,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Dimensions depend on final parts and enclosure
B01,Protected 1S battery,Portable power,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-3.7v-lipo-battery-protected.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,"Battery design hold; capacity, size, charge current and polarity TBD"
B02,Charger with appropriate power-path management,Portable power,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-lipo-power-path-charger-5v-boost.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Battery design hold; TP4056 alone is not complete system power
B03,5V boost converter,Portable power,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-lipo-power-path-charger-5v-boost.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Battery design hold; omit if integrated into qualified power assembly
B04,Power switch,Portable power,1,10,Unverified,10,1,https://www.aliexpress.com/w/wholesale-10pcs-slide-switch.html,Search only,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Battery design hold; rating and wiring depend on power path
B05,Battery mating harness,Portable power,1,10,Unverified,10,1,,Design hold,,Exact item and dimension documentation needed,,Not verified,Unverified,Unverified,,,,2026-09-09,Exact battery connector and polarity TBD
